level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	31	6	3129	980	44	16	44.592102	xt
5	1	1	1	31	7	3607	977	18	29	91.823120	=
5	1	1	1	31	8	3773	946	31	60	45.948898	0)
5	1	1	1	31	9	3993	973	69	13	95.389351	PRESSURE
5	1	1	1	31	10	4072	973	49	13	95.389351	VESSEL
5	1	1	1	31	11	4328	971	16	15	82.547585	o
5	1	1	1	31	12	4490	972	76	13	96.802277	REDUCER
5	1	1	1	32	1	1128	1007	18	16	74.829399	x
5	1	1	1	32	2	2436	1007	18	16	76.968224	x
5	1	1	1	32	3	3607	1007	18	16	64.523811	x
5	1	1	1	32	4	3765	1011	45	17	3.847485	—
5	1	1	1	32	5	3993	1011	35	13	92.553589	AXIAL
5	1	1	1	32	6	4039	1011	72	13	92.553589	EXPANSION
5	1	1	1	32	7	4122	1011	37	12	80.239731	JOINT
5	1	1	1	32	8	4177	1003	9	31	23.816380	=
5	1	1	1	32	9	4193	1009	10	17	72.939842	/
5	1	1	1	32	10	4214	983	8	43	48.007401	:
5	1	1	1	32	11	4233	1009	10	17	90.917648	\
5	1	1	1	32	12	4325	997	15	35	64.197311	UJ
5	1	1	1	32	13	4488	1006	91	13	82.844147	EXPANSION
5	1	1	1	32	14	4593	1006	45	13	82.844147	JOINT
5	1	1	1	33	1	204	1128	16	26	87.800003	F
5	1	1	1	33	2	4857	1128	17	26	88.621918	F
5	1	1	1	34	1	364	1181	118	17	96.842369	CLEANING
5	1	1	1	34	2	502	1181	43	17	96.633759	AND
5	1	1	1	34	3	637	1185	28	12	3.289795	711
5	1	1	1	34	4	672	1185	161	13	3.289795	48-537H=HCY—15
5	1	1	1	34	5	1557	1181	118	17	96.836372	CLEANING
5	1	1	1	34	6	1695	1181	43	17	96.781143	AND
5	1	1	1	34	7	1951	1185	195	13	61.804638	71418=534H=HCY-15
5	1	1	1	34	8	2788	1181	117	17	95.980873	CLEANING
5	1	1	1	34	9	2925	1181	44	17	96.961151	AND
5	1	1	1	34	10	3182	1186	195	12	58.958908	71118=531H=HCY-15
5	1	1	1	35	1	375	1206	101	17	86.841118	COOLING
5	1	1	1	35	2	497	1206	38	17	44.088593	AIR
5	1	1	1	35	3	1568	1206	101	17	84.513969	COOLING
5	1	1	1	35	4	1690	1206	38	17	58.169548	AIR
5	1	1	1	35	5	2798	1206	102	17	31.962299	COOLING
5	1	1	1	35	6	2920	1206	38	17	96.219315	AIR
5	1	1	1	36	1	527	1242	50	19	75.815292	V532
5	1	1	1	36	2	589	1238	18	41	53.437138	NK
5	1	1	1	36	3	760	1242	67	33	11.561031	KVoSZ
5	1	1	1	36	4	1841	1242	50	19	80.213646	V533
5	1	1	1	36	5	1907	1246	13	29	33.696663	4
5	1	1	1	36	6	2074	1242	63	34	0.000000	xvod
5	1	1	1	36	7	3071	1242	51	19	77.144592	V535
5	1	1	1	36	8	3133	1238	18	41	23.560291	NK
5	1	1	1	36	9	3304	1242	63	33	0.000000	KVo5)
5	1	1	1	37	1	2134	1269	20	12	96.203178	AH
5	1	1	1	38	1	510	1287	94	18	80.775101	M-TP209
5	1	1	1	38	2	677	1287	94	18	0.000000	umes
5	1	1	1	38	3	785	1258	75	64	33.007225	sf)
5	1	1	1	38	4	1824	1287	94	18	54.650574	M-TP219
5	1	1	1	38	5	1990	1288	94	17	0.000000	u-rish
5	1	1	1	38	6	2103	1258	70	64	29.047098	ff)
5	1	1	1	38	7	3054	1287	94	18	72.640793	M-TP229
5	1	1	1	38	8	3221	1287	114	31	0.000000	umes
5	1	1	1	38	9	3366	1258	38	64	0.000000	FY)
5	1	1	1	38	10	4445	1267	195	31	80.445435	DELIVERY
5	1	1	1	38	11	4677	1267	98	31	80.445435	LIMIT
5	1	1	1	39	1	762	1322	14	18	6.031008	¥
5	1	1	1	39	2	1279	1325	18	19	88.285210	LT
5	1	1	1	39	3	1311	1325	46	19	88.285210	TYPE
5	1	1	1	39	4	1373	1325	61	19	94.008911	RADAR
5	1	1	1	39	5	2076	1322	14	18	49.892899	¥
5	1	1	1	39	6	2602	1325	18	19	93.914108	LT
5	1	1	1	39	7	2634	1325	46	19	93.914108	TYPE
